Sold-To Number,Sold-To Name,Sold-To Street Address,Sold-To City,Sold-To State/Province,Sold-To Postal Code,Ship-To Number,Ship-To Name,Ship-To Street Address,Ship-To City,Ship-To State/Province,Ship-To Postal Code,Order#,Order Type,PO#,Order Source,Order Date,Order Header CRD,Order Header Payment Terms,Order Header Currency,Credit Status,Line Item Hold Status,Line Item Payment Terms,Line Item CRD,Style-Color No.,Style Name,Color Description,Product Division,Gender/Age,Core Focus,Unit Net Price,Unit Wholesale Price,Unit Suggested Retail Price,Size,UPC,Requested,Rejected,Shipped,Remaining Open,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,8.5,00198486116510,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,9,00198486136198,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,9.5,00198486111461,2,0,0,2,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,10,00197863185262,2,0,0,2,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,10.5,00198486138574,2,0,0,2,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,11,00197863171111,2,0,0,2,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,11.5,00198486120364,2,0,0,2,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,12,00198486105736,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,8,00198486131766,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,8.5,00198486137652,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,9,00198486114172,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,9.5,00198486116756,2,0,0,2,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,10,00198486107778,2,0,0,2,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,10.5,00198486126441,2,0,0,2,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,11,00198486119689,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,11.5,00198486136617,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3586-999,Nike Vaporfly 4,MULTI-COLOR/CLEAR-MOUNTAIN BLUE-FIRE RED,Footwear,MENS,RUNNING,123.17,148.4,280,12,00198486135313,1,0,0,1
